 0.000000e+0	8.924900e-19
 3.700000e-2	8.924900e-19
 1.350000e-1	4.516800e-19
 1.930000e-1	3.383700e-19
 3.150000e-1	2.016200e-19
 6.210000e-1	9.128000e-20
 8.850000e-1	6.143000e-20
 1.222000e+0	4.892000e-20
 1.610000e+0	4.609000e-20
 2.357000e+0	5.305000e-20
 2.914000e+0	6.999000e-20
 3.492000e+0	1.043800e-19
 3.944000e+0	1.127900e-19
 4.600000e+0	9.988000e-20
 5.706000e+0	8.071000e-20
 6.962000e+0	7.718000e-20
 9.305000e+0	8.349000e-20
 1.151700e+1	9.308000e-20
 1.383200e+1	9.757000e-20
 1.850400e+1	9.055000e-20
 4.646800e+1	5.411000e-20
 7.369700e+1	3.700000e-20
 1.099920e+2	2.379000e-20
 1.720250e+2	1.333000e-20
 3.236810e+2	6.030000e-21
 5.905150e+2	2.860000e-21
 9.973230e+2	1.510000e-21
