2.490000000000000213e+00 0.000000000000000000e+00
2.709999999999999964e+00 1.952399999999999953e-22
3.130000000000000782e+00 6.285700000000000412e-22
3.410000000000000142e+00 9.095200000000000491e-22
3.779999999999999361e+00 1.380999999999999947e-21
4.060000000000000497e+00 1.676200000000000010e-21
4.290000000000000924e+00 1.990499999999999966e-21
4.500000000000000000e+00 2.123800000000000127e-21
4.759999999999999787e+00 2.190499999999999835e-21
5.060000000000000497e+00 2.233299999999999911e-21
5.390000000000000568e+00 2.190499999999999835e-21
5.640000000000000568e+00 2.118999999999999823e-21
6.320000000000000284e+00 1.871399999999999951e-21
7.109999999999999432e+00 1.623800000000000079e-21
8.009999999999999787e+00 1.376200000000000019e-21
9.460000000000000853e+00 1.114299999999999995e-21
1.175999999999999979e+01 8.476200000000000811e-22
1.479999999999999893e+01 7.047599999999999544e-22
1.793999999999999773e+01 6.809500000000000273e-22
2.178000000000000114e+01 6.714300000000000455e-22
