2.30e+00 2.89e-35
3.30e+00 2.07e-22
4.30e+00 1.20e-21
5.30e+00 2.02e-21
6.30e+00 2.74e-21
7.30e+00 3.20e-21
8.30e+00 3.80e-21
9.30e+00 4.11e-21
1.03e+01 4.54e-21
1.13e+01 4.90e-21
1.23e+01 5.05e-21
1.33e+01 5.28e-21
1.43e+01 5.62e-21
1.53e+01 5.70e-21
1.63e+01 5.17e-21
1.73e+01 4.65e-21
1.83e+01 4.17e-21
1.93e+01 3.74e-21
2.03e+01 3.36e-21
2.13e+01 3.03e-21
2.23e+01 2.74e-21
2.33e+01 2.48e-21
2.43e+01 2.26e-21
2.53e+01 2.07e-21
2.63e+01 1.89e-21
2.73e+01 1.74e-21
2.83e+01 1.60e-21
2.93e+01 1.47e-21
3.03e+01 1.36e-21
3.13e+01 1.26e-21
3.23e+01 1.17e-21
3.33e+01 1.09e-21
3.43e+01 1.02e-21
3.53e+01 9.48e-22
3.63e+01 8.86e-22
3.73e+01 8.29e-22
3.83e+01 7.78e-22
3.93e+01 7.30e-22
4.03e+01 6.86e-22
4.13e+01 6.46e-22
4.23e+01 6.09e-22
4.33e+01 5.74e-22
4.43e+01 5.42e-22
4.53e+01 5.13e-22
4.63e+01 4.86e-22
4.73e+01 4.60e-22
4.83e+01 4.36e-22
4.93e+01 4.14e-22
5.03e+01 3.94e-22
5.13e+01 3.74e-22
5.23e+01 3.56e-22
5.33e+01 3.39e-22
5.43e+01 3.24e-22
5.53e+01 3.09e-22
5.63e+01 2.95e-22
5.73e+01 2.82e-22
5.83e+01 2.69e-22
5.93e+01 2.58e-22
6.03e+01 2.47e-22
6.13e+01 2.36e-22
6.23e+01 2.26e-22
6.33e+01 2.17e-22
6.43e+01 2.08e-22
6.53e+01 2.00e-22
6.63e+01 1.92e-22
6.73e+01 1.85e-22
6.83e+01 1.78e-22
6.93e+01 1.71e-22
7.03e+01 1.65e-22
7.13e+01 1.59e-22
7.23e+01 1.53e-22
7.33e+01 1.47e-22
7.43e+01 1.42e-22
7.53e+01 1.37e-22
7.63e+01 1.32e-22
7.73e+01 1.28e-22
7.83e+01 1.23e-22
7.93e+01 1.19e-22
8.03e+01 1.15e-22
8.13e+01 1.12e-22
8.23e+01 1.08e-22
8.33e+01 1.04e-22
8.43e+01 1.01e-22
8.53e+01 9.80e-23
8.63e+01 9.49e-23
8.73e+01 9.20e-23
8.83e+01 8.92e-23
8.93e+01 8.65e-23
9.03e+01 8.39e-23
9.13e+01 8.15e-23
9.23e+01 7.91e-23
9.33e+01 7.68e-23
9.43e+01 7.46e-23
9.53e+01 7.25e-23
9.63e+01 7.04e-23
9.73e+01 6.85e-23
9.83e+01 6.66e-23
9.93e+01 6.48e-23
