Table VIIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	Energy         	v=1         	Energy         	v=2         	Energy         	v=3         	Energy         	v=4
53.58         	2.85(-02)	51.06         	3.36(-02)	50.58         	3.57(-02)	50.12         	3.77(-02)	49.70         	3.96(-02)
54.58         	2.72(-02)	52.06         	3.19(-02)	51.58         	3.39(-02)	51.12         	3.58(-02)	50.70         	3.76(-02)
55.58         	2.59(-02)	53.06         	3.04(-02)	52.58         	3.23(-02)	52.12         	3.41(-02)	51.70         	3.58(-02)
56.58         	2.47(-02)	54.06         	2.90(-02)	53.58         	3.07(-02)	53.12         	3.24(-02)	52.70         	3.41(-02)
57.58         	2.36(-02)	55.06         	2.76(-02)	54.58         	2.93(-02)	54.12         	3.09(-02)	53.70         	3.25(-02)
58.58         	2.26(-02)	56.06         	2.64(-02)	55.58         	2.80(-02)	55.12         	2.95(-02)	54.70         	3.10(-02)
59.58         	2.16(-02)	57.06         	2.52(-02)	56.58         	2.67(-02)	56.12         	2.81(-02)	55.70         	2.95(-02)
60.58         	2.07(-02)	58.06         	2.41(-02)	57.58         	2.55(-02)	57.12         	2.69(-02)	56.70         	2.82(-02)
61.58         	1.98(-02)	59.06         	2.30(-02)	58.58         	2.44(-02)	58.12         	2.57(-02)	57.70         	2.70(-02)
62.58         	1.90(-02)	60.06         	2.20(-02)	59.58         	2.33(-02)	59.12         	2.46(-02)	58.70         	2.58(-02)
63.58         	1.82(-02)	61.06         	2.11(-02)	60.58         	2.23(-02)	60.12         	2.35(-02)	59.70         	2.47(-02)
64.58         	1.74(-02)	62.06         	2.02(-02)	61.58         	2.14(-02)	61.12         	2.25(-02)	60.70         	2.36(-02)
65.58         	1.68(-02)	63.06         	1.94(-02)	62.58         	2.05(-02)	62.12         	2.16(-02)	61.70         	2.26(-02)
66.58         	1.61(-02)	64.06         	1.86(-02)	63.58         	1.97(-02)	63.12         	2.07(-02)	62.70         	2.17(-02)
67.58         	1.55(-02)	65.06         	1.78(-02)	64.58         	1.89(-02)	64.12         	1.99(-02)	63.70         	2.08(-02)
68.58         	1.49(-02)	66.06         	1.71(-02)	65.58         	1.81(-02)	65.12         	1.91(-02)	64.70         	2.00(-02)
69.58         	1.43(-02)	67.06         	1.64(-02)	66.58         	1.74(-02)	66.12         	1.83(-02)	65.70         	1.92(-02)
70.58         	1.38(-02)	68.06         	1.58(-02)	67.58         	1.67(-02)	67.12         	1.76(-02)	66.70         	1.84(-02)
71.58         	1.33(-02)	69.06         	1.52(-02)	68.58         	1.61(-02)	68.12         	1.69(-02)	67.70         	1.77(-02)
72.58         	1.28(-02)	70.06         	1.46(-02)	69.58         	1.55(-02)	69.12         	1.63(-02)	68.70         	1.70(-02)
73.58         	1.23(-02)	71.06         	1.41(-02)	70.58         	1.49(-02)	70.12         	1.57(-02)	69.70         	1.64(-02)
74.58         	1.19(-02)	72.06         	1.36(-02)	71.58         	1.43(-02)	71.12         	1.51(-02)	70.70         	1.58(-02)
75.58         	1.15(-02)	73.06         	1.31(-02)	72.58         	1.38(-02)	72.12         	1.45(-02)	71.70         	1.52(-02)
76.58         	1.11(-02)	74.06         	1.26(-02)	73.58         	1.33(-02)	73.12         	1.40(-02)	72.70         	1.47(-02)
77.58         	1.07(-02)	75.06         	1.22(-02)	74.58         	1.29(-02)	74.12         	1.35(-02)	73.70         	1.41(-02)
78.58         	1.03(-02)	76.06         	1.17(-02)	75.58         	1.24(-02)	75.12         	1.30(-02)	74.70         	1.36(-02)
79.58         	9.96(-03)	77.06         	1.13(-02)	76.58         	1.20(-02)	76.12         	1.26(-02)	75.70         	1.32(-02)
80.58         	9.63(-03)	78.06         	1.09(-02)	77.58         	1.16(-02)	77.12         	1.21(-02)	76.70         	1.27(-02)
81.58         	9.31(-03)	79.06         	1.06(-02)	78.58         	1.12(-02)	78.12         	1.17(-02)	77.70         	1.23(-02)
82.58         	9.01(-03)	80.06         	1.02(-02)	79.58         	1.08(-02)	79.12         	1.13(-02)	78.70         	1.19(-02)
83.58         	8.72(-03)	81.06         	9.88(-03)	80.58         	1.04(-02)	80.12         	1.10(-02)	79.70         	1.15(-02)
84.58         	8.44(-03)	82.06         	9.56(-03)	81.58         	1.01(-02)	81.12         	1.06(-02)	80.70         	1.11(-02)
85.58         	8.17(-03)	83.06         	9.25(-03)	82.58         	9.76(-03)	82.12         	1.03(-02)	81.70         	1.07(-02)
86.58         	7.92(-03)	84.06         	8.95(-03)	83.58         	9.45(-03)	83.12         	9.92(-03)	82.70         	1.04(-02)
87.58         	7.67(-03)	85.06         	8.67(-03)	84.58         	9.15(-03)	84.12         	9.60(-03)	83.70         	1.00(-02)
88.58         	7.44(-03)	86.06         	8.40(-03)	85.58         	8.86(-03)	85.12         	9.30(-03)	84.70         	9.72(-03)
89.58         	7.21(-03)	87.06         	8.14(-03)	86.58         	8.58(-03)	86.12         	9.01(-03)	85.70         	9.42(-03)
