Table VIIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	Energy         	v=1         	Energy         	v=2         	Energy         	v=3         	Energy         	v=4
16.78         	5.24(-01)	16.56         	5.42(-01)	16.38         	5.58(-01)	16.22         	5.73(-01)
17.78         	4.70(-01)	17.56         	4.86(-01)	17.38         	5.00(-01)	17.22         	5.12(-01)
18.78         	4.22(-01)	18.56         	4.36(-01)	18.38         	4.48(-01)	18.22         	4.59(-01)
19.78         	3.79(-01)	19.56         	3.92(-01)	19.38         	4.02(-01)	19.22         	4.12(-01)
20.78         	3.42(-01)	20.56         	3.53(-01)	20.38         	3.62(-01)	20.22         	3.71(-01)
21.78         	3.09(-01)	21.56         	3.19(-01)	21.38         	3.27(-01)	21.22         	3.35(-01)
22.78         	2.80(-01)	22.56         	2.89(-01)	22.38         	2.96(-01)	22.22         	3.05(-01)
23.78         	2.55(-01)	23.56         	2.63(-01)	23.38         	2.70(-01)	23.22         	2.78(-01)
24.78         	2.33(-01)	24.56         	2.40(-01)	24.38         	2.46(-01)	24.22         	2.54(-01)
25.78         	2.13(-01)	25.56         	2.19(-01)	25.38         	2.25(-01)	25.22         	2.34(-01)
26.78         	1.96(-01)	26.56         	2.01(-01)	26.38         	2.06(-01)	26.22         	2.16(-01)
27.78         	1.80(-01)	27.56         	1.85(-01)	27.38         	1.89(-01)	27.22         	2.00(-01)
28.78         	1.66(-01)	28.56         	1.71(-01)	28.38         	1.74(-01)	28.22         	1.86(-01)
29.78         	1.54(-01)	29.56         	1.58(-01)	29.38         	1.60(-01)	29.22         	1.73(-01)
30.78         	1.42(-01)	30.56         	1.46(-01)	30.38         	1.48(-01)	30.22         	1.62(-01)
31.78         	1.32(-01)	31.56         	1.35(-01)	31.38         	1.37(-01)	31.22         	1.51(-01)
32.78         	1.23(-01)	32.56         	1.26(-01)	32.38         	1.27(-01)	32.22         	1.41(-01)
33.78         	1.14(-01)	33.56         	1.17(-01)	33.38         	1.18(-01)	33.22         	1.31(-01)
34.78         	1.07(-01)	34.56         	1.10(-01)	34.38         	1.10(-01)	34.22         	1.22(-01)
35.78         	9.96(-02)	35.56         	1.03(-01)	35.38         	1.02(-01)	35.22         	1.13(-01)
36.78         	9.32(-02)	36.56         	9.60(-02)	36.38         	9.55(-02)	36.22         	1.04(-01)
37.78         	8.73(-02)	37.56         	9.01(-02)	37.38         	8.95(-02)	37.22         	9.47(-02)
38.78         	8.19(-02)	38.56         	8.46(-02)	38.38         	8.43(-02)	38.22         	8.61(-02)
39.78         	7.70(-02)	39.56         	7.95(-02)	39.38         	7.96(-02)	39.22         	7.77(-02)
40.78         	7.24(-02)	40.56         	7.49(-02)	40.38         	7.55(-02)	40.22         	6.96(-02)
41.78         	6.82(-02)	41.56         	7.05(-02)	41.38         	7.20(-02)	41.22         	6.19(-02)
42.78         	6.44(-02)	42.56         	6.64(-02)	42.38         	6.89(-02)	42.22         	5.47(-02)
43.78         	6.08(-02)	43.56         	6.26(-02)	43.38         	6.62(-02)	43.22         	4.81(-02)
44.78         	5.75(-02)	44.56         	5.90(-02)	44.38         	6.39(-02)	44.22         	4.21(-02)
45.78         	5.44(-02)	45.56         	5.55(-02)	45.38         	6.18(-02)	45.22         	3.68(-02)
46.78         	5.16(-02)	46.56         	5.23(-02)	46.38         	5.99(-02)	46.22         	3.23(-02)
47.78         	4.89(-02)	47.56         	4.92(-02)	47.38         	5.82(-02)	47.22         	2.85(-02)
48.78         	4.65(-02)	48.56         	4.63(-02)	48.38         	5.66(-02)	48.22         	2.56(-02)
49.78         	4.43(-02)	49.56         	4.35(-02)	49.38         	5.49(-02)	49.22         	2.34(-02)
50.78         	4.22(-02)	50.56         	4.09(-02)	50.38         	5.33(-02)	50.22         	2.19(-02)
51.78         	4.03(-02)	51.56         	3.85(-02)	51.38         	5.15(-02)	51.22         	2.10(-02)
52.78         	3.85(-02)	52.56         	3.62(-02)	52.38         	4.96(-02)	52.22         	2.08(-02)
53.78         	3.68(-02)	53.56         	3.41(-02)	53.38         	4.76(-02)	53.22         	2.10(-02)
54.78         	3.52(-02)	54.56         	3.22(-02)	54.38         	4.54(-02)	54.22         	2.16(-02)
55.78         	3.38(-02)	55.56         	3.05(-02)	55.38         	4.30(-02)	55.22         	2.24(-02)
56.78         	3.24(-02)	56.56         	2.90(-02)	56.38         	4.05(-02)	56.22         	2.35(-02)
57.78         	3.11(-02)	57.56         	2.76(-02)	57.38         	3.79(-02)	57.22         	2.46(-02)
58.78         	2.98(-02)	58.56         	2.65(-02)	58.38         	3.52(-02)	58.22         	2.57(-02)
59.78         	2.86(-02)	59.56         	2.55(-02)	59.38         	3.24(-02)	59.22         	2.68(-02)
60.78         	2.75(-02)	60.56         	2.47(-02)	60.38         	2.96(-02)	60.22         	2.77(-02)
61.78         	2.63(-02)	61.56         	2.41(-02)	61.38         	2.68(-02)	61.22         	2.84(-02)
62.78         	2.52(-02)	62.56         	2.36(-02)	62.38         	2.41(-02)	62.22         	2.90(-02)
63.78         	2.42(-02)	63.56         	2.33(-02)	63.38         	2.15(-02)	63.22         	2.93(-02)
64.78         	2.31(-02)	64.56         	2.31(-02)	64.38         	1.90(-02)	64.22         	2.93(-02)
65.78         	2.20(-02)	65.56         	2.29(-02)	65.38         	1.67(-02)	65.22         	2.92(-02)
66.78         	2.10(-02)	66.56         	2.29(-02)	66.38         	1.46(-02)	66.22         	2.88(-02)
67.78         	1.99(-02)	67.56         	2.29(-02)	67.38         	1.27(-02)	67.22         	2.83(-02)
68.78         	1.89(-02)	68.56         	2.29(-02)	68.38         	1.11(-02)	68.22         	2.76(-02)
69.78         	1.79(-02)	69.56         	2.29(-02)	69.38         	9.70(-03)	69.22         	2.68(-02)
70.78         	1.69(-02)	70.56         	2.28(-02)	70.38         	8.54(-03)	70.22         	2.60(-02)
71.78         	1.59(-02)	71.56         	2.28(-02)	71.38         	7.61(-03)	71.22         	2.50(-02)
72.78         	1.50(-02)	72.56         	2.26(-02)	72.38         	6.91(-03)	72.22         	2.41(-02)
73.78         	1.41(-02)	73.56         	2.24(-02)	73.38         	6.42(-03)	73.22         	2.32(-02)
74.78         	1.32(-02)	74.56         	2.21(-02)	74.38         	6.11(-03)	74.22         	2.23(-02)
75.78         	1.24(-02)	75.56         	2.17(-02)	75.38         	5.95(-03)	75.22         	2.14(-02)
76.78         	1.17(-02)	76.56         	2.12(-02)	76.38         	5.93(-03)	76.22         	2.07(-02)
77.78         	1.10(-02)	77.56         	2.07(-02)	77.38         	6.02(-03)	77.22         	1.99(-02)
78.78         	1.05(-02)	78.56         	2.00(-02)	78.38         	6.19(-03)	78.22         	1.93(-02)
79.78         	9.93(-03)	79.56         	1.92(-02)	79.38         	6.42(-03)	79.22         	1.88(-02)
80.78         	9.48(-03)	80.56         	1.84(-02)	80.38         	6.67(-03)	80.22         	1.83(-02)
81.78         	9.11(-03)	81.56         	1.75(-02)	81.38         	6.94(-03)	81.22         	1.78(-02)
82.78         	8.82(-03)	82.56         	1.66(-02)	82.38         	7.21(-03)	82.22         	1.74(-02)
83.78         	8.60(-03)	83.56         	1.56(-02)	83.38         	7.45(-03)	83.22         	1.71(-02)
84.78         	8.45(-03)	84.56         	1.46(-02)	84.38         	7.66(-03)	84.22         	1.68(-02)
85.78         	8.36(-03)	85.56         	1.36(-02)	85.38         	7.83(-03)	85.22         	1.65(-02)
86.78         	8.34(-03)	86.56         	1.26(-02)	86.38         	7.95(-03)	86.22         	1.63(-02)
87.78         	8.36(-03)	87.56         	1.16(-02)	87.38         	8.02(-03)	87.22         	1.60(-02)
88.78         	8.43(-03)	88.56         	1.07(-02)	88.38         	8.04(-03)	88.22         	1.57(-02)
89.78         	8.54(-03)	89.56         	9.76(-03)	89.38         	8.02(-03)	89.22         	1.54(-02)
90.78         	8.68(-03)	90.56         	8.90(-03)	90.38         	7.96(-03)	90.22         	1.51(-02)
91.78         	8.84(-03)	91.56         	8.11(-03)	91.38         	7.86(-03)	91.22         	1.48(-02)
92.78         	9.01(-03)	92.56         	7.38(-03)	92.38         	7.73(-03)	92.22         	1.45(-02)
93.78         	9.18(-03)	93.56         	6.71(-03)	93.38         	7.57(-03)	93.22         	1.41(-02)
94.78         	9.35(-03)	94.56         	6.12(-03)	94.38         	7.40(-03)	94.22         	1.37(-02)
95.78         	9.50(-03)	95.56         	5.59(-03)	95.38         	7.22(-03)	95.22         	1.33(-02)
96.78         	9.64(-03)	96.56         	5.14(-03)	96.38         	7.04(-03)	96.22         	1.29(-02)
97.78         	9.75(-03)	97.56         	4.75(-03)	97.38         	6.86(-03)	97.22         	1.25(-02)
98.78         	9.83(-03)	98.56         	4.42(-03)	98.38         	6.69(-03)	98.22         	1.21(-02)
99.78         	9.88(-03)	99.56         	4.15(-03)	99.38         	6.54(-03)	99.22         	1.16(-02)

