1.30e+01	1.89e-02
1.40e+01	2.71e-02
1.50e+01	2.80e-02
1.60e+01	2.71e-02
1.70e+01	2.82e-02
1.80e+01	2.95e-02
1.90e+01	3.03e-02
2.00e+01	3.11e-02
2.10e+01	3.21e-02
2.20e+01	3.31e-02
2.30e+01	3.42e-02
2.40e+01	3.53e-02
2.50e+01	3.64e-02
2.60e+01	3.74e-02
2.70e+01	3.84e-02
2.80e+01	3.93e-02
2.90e+01	4.01e-02
3.00e+01	4.08e-02
3.10e+01	4.15e-02
3.20e+01	4.21e-02
3.30e+01	4.26e-02
3.40e+01	4.31e-02
3.50e+01	4.35e-02
3.60e+01	4.38e-02
3.70e+01	4.41e-02
3.80e+01	4.44e-02
3.90e+01	4.46e-02
4.00e+01	4.48e-02
4.10e+01	4.49e-02
4.20e+01	4.50e-02
4.30e+01	4.51e-02
4.40e+01	4.52e-02
4.50e+01	4.52e-02
4.60e+01	4.52e-02
4.70e+01	4.52e-02
4.80e+01	4.52e-02
4.90e+01	4.52e-02
5.00e+01	4.51e-02
6.00e+01	4.40e-02
7.00e+01	4.24e-02
8.50e+01	3.98e-02
1.00e+02	3.73e-02
1.50e+02	3.06e-02
2.00e+02	2.60e-02
