0.000000000000000000e+00 1.200000000000000034e+24 1.200000000000000034e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.751221220258401202e-18 1.199999999999991309e+24 1.199999999999996410e+24 8.744555471276960373e+09 3.746422700192024454e-11 2.916838252914392927e-05 7.609383278787209511e+09 8.744555470338237762e+09 9.386708544804821530e-01 3.014351101860311313e-06
3.502442440516802403e-18 1.199999999999982719e+24 1.199999999999992383e+24 1.748911094282671356e+10 1.615545991361933743e-10 9.205886132023240035e-05 1.521876655851688766e+10 1.748911093986399460e+10 2.962556114489789838e+00 9.513648203434014924e-06
2.101465464310081442e-17 1.199999999999895210e+24 1.199999999999954534e+24 1.049346656823456268e+11 4.775585002198477929e-08 3.690448214873839460e-03 9.131259943880500793e+10 1.049346655635763092e+11 1.187627106589983725e+02 3.813823624930003401e-04
3.852686684568482336e-17 1.199999999999807834e+24 1.199999999999916416e+24 1.923802204492102356e+11 1.922235423804833295e-07 1.066926624548669190e-02 1.674064324135695801e+11 1.923802201058423157e+11 3.433488035382594603e+02 1.102595058468381229e-03
2.136489888715249250e-16 1.199999999998933137e+24 1.199999999999535909e+24 1.066835770520098877e+12 4.889388691765315161e-05 3.774187366531588927e-01 9.283447704607092285e+11 1.066835758373669189e+12 1.214575276966221463e+04 3.900362247706028185e-02
3.887711108973650267e-16 1.199999999998058843e+24 1.199999999999155401e+24 1.941291323325572021e+12 1.954978683329094979e-04 1.082213084576279183e+00 1.689283117955549561e+12 1.941291288496816162e+12 3.482681486935965950e+04 1.118392552749805230e-01
2.139992331155766290e-15 1.199999999989314155e+24 1.199999999995350731e+24 1.068584709160453320e+13 4.900891640431013357e-02 3.782629081928235593e+01 9.298667422853373047e+12 1.068584587424489453e+13 1.217291753846743843e+06 3.909086045123239206e+00
3.891213551414167800e-15 1.199999999980569736e+24 1.199999999991546196e+24 1.943040313334185547e+13 1.958275448473587310e-01 1.083748633859067212e+02 1.690805267252111719e+13 1.943039964552495312e+13 3.487622356238442007e+06 1.119979361541324181e+01
2.140342575399818605e-14 1.199999999893124336e+24 1.199999999953498960e+24 1.068759875730793438e+14 4.902039683119416225e+01 3.783476133232847587e+03 9.300198816406853125e+13 1.068758658099715469e+14 1.217562738071829826e+08 3.909960083752947071e+02
3.891563795658220273e-14 1.199999999805678131e+24 1.199999999915451992e+24 1.943215993585443438e+14 1.958603596944589356e+02 1.083903347824345292e+04 1.690960181324465000e+14 1.943212505275847812e+14 3.488113259478163123e+08 1.120138493243551466e+03
1.689487429621253692e-13 1.199999999156369270e+24 1.199999999632938304e+24 8.436307187061368750e+14 1.154351549320645972e+04 1.667403873476955341e+05 7.341185027802925000e+14 8.436253525610493750e+14 5.365834526453207970e+09 1.723137956750401645e+04
2.989818479676685419e-13 1.199999998507058798e+24 1.199999999350419113e+24 1.492941357050942500e+15 5.195292998170056671e+04 5.104244867661036551e+05 1.299146235453371250e+15 1.492924930313755250e+15 1.642576988248639488e+10 5.274843146260787034e+04
4.290149529732116894e-13 1.199999997857746448e+24 1.199999999067893883e+24 2.142253530854024750e+15 1.418092503976498847e+05 1.043931013824303867e+06 1.864179273056932000e+15 2.142219934686452500e+15 3.359415366506058502e+10 1.078819064941650286e+05
1.709893689708719663e-12 1.199999991461676319e+24 1.199999996284600993e+24 8.538323778144182000e+15 1.112676780889123678e+07 1.649001977468797192e+07 7.430268249272666000e+15 8.537793126033377000e+15 5.306114120709172974e+11 1.704036389249146683e+06
2.990772426444227435e-12 1.199999985065456805e+24 1.199999993500752174e+24 1.493454352702180800e+16 5.042145455253445357e+07 5.042388183691041172e+07 1.299687378581581600e+16 1.493292094220957400e+16 1.622443964089588867e+12 5.210536869734387845e+06
4.271651163179735409e-12 1.199999978669087102e+24 1.199999990716347424e+24 2.133091280412438800e+16 1.376565080239053071e+08 1.028533994370075762e+08 1.856399600797132400e+16 2.132760323467596000e+16 3.309247341195569824e+12 1.062803350375019200e+07
1.559945924928200019e-11 1.199999922093840983e+24 1.199999966067496961e+24 7.790549051613352000e+16 8.254171526280986786e+09 1.372166538391680241e+09 6.782087353457296000e+16 7.786136308786712000e+16 4.411671323685043750e+13 1.417352703983463645e+08
2.692726733538426658e-11 1.199999865505835456e+24 1.199999941375182770e+24 1.344917462778586240e+17 3.652714735596100616e+10 4.089748007068894863e+09 1.171181306483317760e+17 1.343602712277064800e+17 1.314311882155792500e+14 4.223452313751720190e+08
3.825507542148653297e-11 1.199999808905397475e+24 1.199999916639416933e+24 1.910896660588043520e+17 9.853772007656306458e+10 8.256932504653402328e+09 1.664557404497870720e+17 1.908243233599898240e+17 2.652293522379630625e+14 8.524875671136293411e+08
6.646853532334099028e-11 1.199999667886073097e+24 1.199999854842792091e+24 3.321051611589841920e+17 4.898686125651691284e+11 2.494576139807705307e+10 2.895130579850341760e+17 3.313042478455829120e+17 8.003787013709397500e+14 2.574022328272127628e+09
9.468199522519544759e-11 1.199999526796318101e+24 1.199999792776883940e+24 4.731927081396746880e+17 1.395559113050887451e+12 5.065530115133674622e+10 4.128200902471388800e+17 4.715678700807667200e+17 1.623351636889970500e+15 5.223809424646552086e+09
1.228954551270499049e-10 1.199999385638866099e+24 1.199999730441881861e+24 6.143520974085378560e+17 3.036797717268408203e+12 8.540494806090260315e+10 5.363763999893680640e+17 6.116151437444888320e+17 2.733763661162956000e+15 8.802328126142290115e+09
